{SimaPro 8.5.0.0};;;;;
{methods};;;;;
{Date: 2018-03-01};;;;;
{Time: 11:29:24};;;;;
{Project: Methods};;;;;
{CSV Format version: 8.0.5};;;;;
{CSV separator: Semicolon};;;;;
{Decimal separator: .};;;;;
{Date separator: -};;;;;
{Short date format: yyyy-MM-dd};;;;;
{Selection: Selection (1)};;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;
{Include sub product stages and processes: No};;;;;
{Open library: 'Methods'};;;;;
;;;;;
Method;;;;;
;;;;;
Name;;;;;
IMPACTWorld+ (Default_Recommended_Midpoint 1.23);;;;;
;;;;;
Version;;;;;
1;23;;;;
;;;;;
Comment;;;;;
"IMPACTWorld+ (Default_Midpoint). Version 1.23
IMPACT World+, is the update of the IMPACT 2002+, LUCAS, and EDIP methods. Global version with global CFs for regionalized impact categories. Regionalized impact categories only implemented for:
- Land occupation, biodiversity and Land transformation, biodiversity with Olson biomes resolution (=native resolution)
- Water scarcity with country resolution (native resolution = Subwatersheds) .

Included impact categories:
Climate change, short term
Climate change, long term
Land occupation, biodiversity
Land transformation, biodiversity
Fossil and nuclear energy use
Mineral resources use
Water scarcity
Freshwater acidification
Terrestrial acidification
Freshwater eutrophication
Marine eutrophication
Freshwater ecotoxicity
Particulate matter formation
Photochemical oxidant formation
Human toxicity cancer
Human toxicity non cancer
Ionizing radiations
Ozone Layer Depletion

Release: January 2019
Changes compared to 1.22:
- For fossil energy use IC, name of elem flows and CF values realigned with the corresponding IC Non-renewable energy in the last version of IMPACT 2002+ (v2.20 implemented in simapro)
- Fossil energy use IC renamed for ""Fossil and nuclear energy use""

Changes compared to 1.21:
- For land occupation and land transformation, CF values recalculated from endpoint with annual crop CF as reference substance. Units were also adjusted.
- Impact category names and units aligned with IW+ article
- Human toxicity (cancer and non cancer) and Freshwater ecotoxicity reimplemented based on USEtox v2.02 implemented in Simapro

More info: http://www.impactworldplus.org/en/";;;;;
;;;;;
Category;;;;;
Others;;;;;
;;;;;
Use Damage Assessment;;;;;
No;;;;;
;;;;;
Use Normalization;;;;;
No;;;;;
;;;;;
Use Weighting;;;;;
No;;;;;
;;;;;
Use Addition;;;;;
No;;;;;
;;;;;
Impact category;;;;;
Climate change, short term;kg CO2 eq (short);;;;
;;;;;
Substances;;;;;
Air;(unspecified);(E)-HFC-1225ye;10/8/5595;0.00E+00;kg
Air;(unspecified);(E)-HFC-1234ze;1645-83-6;1.00E+00;kg
Air;(unspecified);(Z)-HFC-1225ye;5528-43-8;0.00E+00;kg
Air;(unspecified);(Z)-HFC-1234ze;29118-25-0;0.00E+00;kg
Air;(unspecified);(Z)-HFC-1336;692-49-9;2.00E+00;kg
Air;(unspecified);1-ethoxy-1,1,2,2,3,3,3-heptafluoropropane;22052-86-4;7.40E+01;kg
Air;(unspecified);1-ethoxy-1,1,2,3,3,3-hexafluoropropane;380-34-7;2.80E+01;kg
Air;(unspecified);1-Propanol, 3,3,3-trifluoro-2,2-bis(trifluoro,,,, HFE-7100;14117-17-0;5.09E+02;kg
Air;(unspecified);1,1'-oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane;205367-61-9;5.74E+03;kg
Air;(unspecified);1,1-difluoroethyl-2,2,2-trifluoroacetate;1344118-13-;3.80E+01;kg
Air;(unspecified);1,1-difluorothyl carbonofluoridate;1344118-11-;3.30E+01;kg
Air;(unspecified);1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane;3330-15-2;7.37E+03;kg
Air;(unspecified);1,1,1,3,3,3-Hexafluoropropan-2-ol;000920-66-1;2.21E+02;kg
Air;(unspecified);1,1,1,3,3,3-hexafluoropropan-2-yl formate;856766-70-6;4.03E+02;kg
Air;(unspecified);1,1,2-trifluoro-2-(trifluoromethoxy)-ethane;84011-06-3;1.49E+03;kg
Air;(unspecified);1,1,2,2-tetrafluoro-1-(fluoromethoxy)ethane;37031-31-5;1.05E+03;kg
Air;(unspecified);1,1,2,2-tetrafluoro-3-methoxy-propane;60598-17-6;1.00E+00;kg
Air;(unspecified);1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-tetraoxadodecane;173350-37-3;5.25E+03;kg
Air;(unspecified);1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15-eicosafluoro-2,5,8,11,14-pentaox*;173350-38-4;4.24E+03;kg
Air;(unspecified);1,2,2,2-tetrafluoroethylformate;481631-19-0;5.69E+02;kg
Air;(unspecified);2-chloro-1,1,2-trifluoro-1-methoxyethane;425-87-6;1.49E+02;kg
Air;(unspecified);2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluo*;920979-28-8;6.80E+01;kg
Air;(unspecified);2-fluoroethanol;371-62-0;1.00E+00;kg
Air;(unspecified);2,2-difluoroethanol;359-13-7;4.00E+00;kg
Air;(unspecified);2,2,2-TRIFLUOROETHANOL;75898;2.40E+01;kg
Air;(unspecified);2,2,2-trifluoroethyl 2,2,2-trifluoroacetate;407-38-5;8.00E+00;kg
Air;(unspecified);2,2,2-trifluoroethylformate;32042-38-9;4.10E+01;kg
Air;(unspecified);2,2,3,3-tetrafluoro-1-propanol;76-37-9;1.60E+01;kg
Air;(unspecified);2,2,3,3,3-pentafluoropropan-1-ol;422-05-9;2.30E+01;kg
Air;(unspecified);2,2,3,3,4,4,4-heptafluoro-1-butanol;375-01-9;2.00E+01;kg
Air;(unspecified);2,2,3,3,4,4,4-heptafluorobutan-1-ol;375-01-9;4.10E+01;kg
Air;(unspecified);2,2,3,3,4,4,5,5-octafluorocyclopentanol;16621-87-7;1.60E+01;kg
Air;(unspecified);2,2,3,4,4,4-hexafluoro-1-butanol;382-31-0;2.10E+01;kg
Air;(unspecified);3,3,3-trifluoropropan-1-ol;2240-88-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropanal;460-40-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropylformate;1344118-09-;2.10E+01;kg
Air;(unspecified);3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene;19430-93-4;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol;185689-57-0;1.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene;25291-17-2;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene;21652-58-4;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol;87017-97-8;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol;755-02-2;0.00E+00;kg
Air;(unspecified);4,4,4-trifluorobutan-1-ol;461-18-7;0.00E+00;kg
Air;(unspecified);Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxy-;163702-07-6;5.87E+02;kg
Air;(unspecified);Butane, 1,1,1,3,3-pentafluoro-, HFC-365mfc;000406-58-6;9.66E+02;kg
Air;(unspecified);Butane, perfluoro-;000355-25-9;1.02E+04;kg
Air;(unspecified);Butane, perfluorocyclo-, PFC-318;000115-25-3;1.06E+04;kg
Air;(unspecified);Carbon dioxide;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon dioxide, biogenic;000124-38-9;0.00E+00;kg
Air;(unspecified);Carbon dioxide, fossil;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon dioxide, land transformation;000124-38-9;1.00E+00;kg
Air;(unspecified);Carbon monoxide;000630-08-0;1.57E+00;kg
Air;(unspecified);Carbon monoxide biogenic;000630-08-0;0.00E+00;kg
Air;(unspecified);Chloroform;000067-66-3;2.00E+01;kg
Air;(unspecified);Difluoro(fluoromethoxy)methane;461-63-2;7.48E+02;kg
Air;(unspecified);Difluoro(methoxy)methane;359-15-9;1.75E+02;kg
Air;(unspecified);Difluoromethyl 2,2,2-trifluoroacetate;2024-86-4;3.30E+01;kg
Air;(unspecified);Dinitrogen monoxide;010024-97-2;2.98E+02;kg
Air;(unspecified);E-1-Chloro-3,3,3-trifluoroprop-1-ene;;2.00E+00;kg
Air;(unspecified);Ethane, 1-chloro-1,1-difluoro-, HCFC-142b;000075-68-3;2.35E+03;kg
Air;(unspecified);Ethane, 1-chloro-2,2,2-trifluoro-(difluoro,,,, HCFE-235da2;26675-46-7;5.95E+02;kg
Air;(unspecified);Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;001717-00-6;9.38E+02;kg
Air;(unspecified);Ethane, 1,1-difluoro-, HFC-152a;000075-37-6;1.67E+02;kg
Air;(unspecified);Ethane, 1,1,1-trichloro-, HCFC-140;000071-55-6;1.93E+02;kg
Air;(unspecified);Ethane, 1,1,1-trifluoro-, HFC-143a;000420-46-2;5.51E+03;kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;000811-97-2;1.55E+03;kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-2-bromo-, Halon 2401;000124-72-1;2.23E+02;kg
Air;(unspecified);Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;000076-13-1;6.59E+03;kg
Air;(unspecified);Ethane, 1,1,2-trifluoro-, HFC-143;000430-66-0;3.97E+02;kg
Air;(unspecified);Ethane, 1,1,2,2-tetrafluoro-, HFC-134;000359-35-3;1.34E+03;kg
Air;(unspecified);Ethane, 1,2-dibromotetrafluoro-, Halon 2402;000124-73-2;1.73E+03;kg
